reportedTime,eventId
2017-01-04T00:00:00Z,101536329A1
2017-01-04T00:00:00Z,101536425A1
2017-01-04T00:00:00Z,101536473A1
2017-01-04T00:00:00Z,101536617A1
2017-01-04T00:00:00Z,101536761A1
2017-01-04T00:00:00Z,101536857A1
2017-01-04T00:00:00Z,101536905A1
2017-01-04T00:00:00Z,101536953A1
2017-01-05T00:00:00Z,104586217A1
2017-01-08T00:00:00Z,20197235A1
2017-01-08T00:00:00Z,99702986A1
2017-01-08T00:00:00Z,99703706A1
2017-01-09T00:00:00Z,20199491A1
2017-01-09T00:00:00Z,20195987A1
2017-01-10T00:00:00Z,58090386A1
2017-01-11T00:00:00Z,65643804A1
2017-01-11T00:00:00Z,65656332A1
2017-01-13T00:00:00Z,72882048A1
2017-01-14T00:00:00Z,85602730A1
2017-01-16T00:00:00Z,64727828A1
2017-01-16T00:00:00Z,64728836A1
2017-01-18T00:00:00Z,83592029A1
2017-01-19T00:00:00Z,85347943A1
2017-01-19T00:00:00Z,85348087A1
2017-01-19T00:00:00Z,85348135A1
2017-01-19T00:00:00Z,85348183A1
2017-01-19T00:00:00Z,85347607A1
2017-01-30T00:00:00Z,14213761A1
2017-02-01T00:00:00Z,67030733A1
2017-02-06T00:00:00Z,37082628A1
2017-02-11T00:00:00Z,98624638A1
2017-02-15T00:00:00Z,4604148A1
2017-02-15T00:00:00Z,4599636A1
2017-02-19T00:00:00Z,91728622A1
2017-02-21T00:00:00Z,1631786A1
2017-02-24T00:00:00Z,14969948A1
2017-02-24T00:00:00Z,14970044A1
2017-02-24T00:00:00Z,14970140A1
2017-02-24T00:00:00Z,14970236A1
2017-02-24T00:00:00Z,14970284A1
2017-02-24T00:00:00Z,86700271A1
2017-02-24T00:00:00Z,86700511A1
2017-02-24T00:00:00Z,86700655A1
2017-02-27T00:00:00Z,46260438A1
2017-02-27T00:00:00Z,46260822A1
2017-02-27T00:00:00Z,46262214A1
2017-02-27T00:00:00Z,46263942A1
2017-03-02T00:00:00Z,4460145A1
2017-03-02T00:00:00Z,4460337A1
2017-03-03T00:00:00Z,5012637A1
2017-03-07T00:00:00Z,14259340A1
2017-03-07T00:00:00Z,14259772A1
2017-03-07T00:00:00Z,14259820A1
2017-03-07T00:00:00Z,14260012A1
2017-03-07T00:00:00Z,14258380A1
2017-03-07T00:00:00Z,14258428A1
2017-03-07T00:00:00Z,14258860A1
2017-03-07T00:00:00Z,14255932A1
2017-03-07T00:00:00Z,14260828A1
2017-03-07T00:00:00Z,14261788A1
2017-03-16T00:00:00Z,29154743A1
2017-03-16T00:00:00Z,29164151A1
2017-03-16T00:00:00Z,29161799A1
2017-03-17T00:00:00Z,81967320A1
2017-03-17T00:00:00Z,81967080A1
2017-03-20T00:00:00Z,44208365A1
2017-03-20T00:00:00Z,82411282A1
2017-03-20T00:00:00Z,82412338A1
2017-03-20T00:00:00Z,82412578A1
2017-03-21T00:00:00Z,52168203A1
2017-03-21T00:00:00Z,52169643A1
2017-03-21T00:00:00Z,52171275A1
2017-03-21T00:00:00Z,52170939A1
2017-03-27T00:00:00Z,65984067A1
2017-03-27T00:00:00Z,65983875A1
2017-03-29T00:00:00Z,63141957A1
2017-03-29T00:00:00Z,63142149A1
2017-03-31T00:00:00Z,54063170A1
2017-03-31T00:00:00Z,54050690A1
2017-03-31T00:00:00Z,54059810A1
2017-03-31T00:00:00Z,54057458A1
2017-03-31T00:00:00Z,54057746A1
2017-04-01T00:00:00Z,16668924A1
2017-04-01T00:00:00Z,16668972A1
2017-04-01T00:00:00Z,16669020A1
2017-04-01T00:00:00Z,16669068A1
2017-04-01T00:00:00Z,16669212A1
2017-04-01T00:00:00Z,16669260A1
2017-04-01T00:00:00Z,16669308A1
2017-04-01T00:00:00Z,16669356A1
2017-04-01T00:00:00Z,16669404A1
2017-04-01T00:00:00Z,16672044A1
2017-04-01T00:00:00Z,12077838A1
2017-04-01T00:00:00Z,16671660A1
2017-04-01T00:00:00Z,16671756A1
2017-04-01T00:00:00Z,16671852A1
2017-04-01T00:00:00Z,16671900A1
2017-04-01T00:00:00Z,16671948A1
2017-04-01T00:00:00Z,16669692A1
2017-04-01T00:00:00Z,16669740A1
2017-04-01T00:00:00Z,16669788A1
2017-04-01T00:00:00Z,16669836A1
2017-04-01T00:00:00Z,16669932A1
2017-04-01T00:00:00Z,16669980A1
2017-04-01T00:00:00Z,16670028A1
2017-04-01T00:00:00Z,16670076A1
2017-04-01T00:00:00Z,16670220A1
2017-04-01T00:00:00Z,16670268A1
2017-04-01T00:00:00Z,16670316A1
2017-04-01T00:00:00Z,16670364A1
2017-04-01T00:00:00Z,16670460A1
2017-04-01T00:00:00Z,16670556A1
2017-04-01T00:00:00Z,16670652A1
2017-04-01T00:00:00Z,16670700A1
2017-04-01T00:00:00Z,16670748A1
2017-04-01T00:00:00Z,16670796A1
2017-04-01T00:00:00Z,16670844A1
2017-04-01T00:00:00Z,16670892A1
2017-04-01T00:00:00Z,16670940A1
2017-04-01T00:00:00Z,16670988A1
2017-04-01T00:00:00Z,16671180A1
2017-04-01T00:00:00Z,16671228A1
2017-04-01T00:00:00Z,16671276A1
2017-04-01T00:00:00Z,16671372A1
2017-04-01T00:00:00Z,16671468A1
2017-04-01T00:00:00Z,16671516A1
2017-04-01T00:00:00Z,16671564A1
2017-04-01T00:00:00Z,16671612A1
2017-04-02T00:00:00Z,42842721A1
2017-04-04T00:00:00Z,18046378A1
2017-04-04T00:00:00Z,18044794A1
2017-04-04T00:00:00Z,18030922A1
2017-04-06T00:00:00Z,66585355A1
2017-04-06T00:00:00Z,66576715A1
2017-04-06T00:00:00Z,66578683A1
2017-04-09T00:00:00Z,75882544A1
2017-04-09T00:00:00Z,64165602A1
2017-04-11T00:00:00Z,31212997A1
2017-04-11T00:00:00Z,31213909A1
2017-04-11T00:00:00Z,31212469A1
2017-04-15T00:00:00Z,52562229A1
2017-04-15T00:00:00Z,52562373A1
2017-04-15T00:00:00Z,52561461A1
2017-04-18T00:00:00Z,69702389A1
2017-04-18T00:00:00Z,69703541A1
2017-04-18T00:00:00Z,69708437A1
2017-04-19T00:00:00Z,79309680A1
2017-04-19T00:00:00Z,37772990A1
2017-04-24T00:00:00Z,25701790A1
2017-04-24T00:00:00Z,25701934A1
2017-04-24T00:00:00Z,25702030A1
2017-04-24T00:00:00Z,25702222A1
2017-04-24T00:00:00Z,25702702A1
2017-04-24T00:00:00Z,25702798A1
2017-04-24T00:00:00Z,25698622A1
2017-04-24T00:00:00Z,25698814A1
2017-04-24T00:00:00Z,25698862A1
2017-04-24T00:00:00Z,25699006A1
2017-04-24T00:00:00Z,25699390A1
2017-04-24T00:00:00Z,25699822A1
2017-04-24T00:00:00Z,25699870A1
2017-04-24T00:00:00Z,25700254A1
2017-04-24T00:00:00Z,25700542A1
2017-04-24T00:00:00Z,25700926A1
2017-04-24T00:00:00Z,25701022A1
2017-04-24T00:00:00Z,25701166A1
2017-04-28T00:00:00Z,94154818A1
2017-04-28T00:00:00Z,94155298A1
2017-04-28T00:00:00Z,94155634A1
2017-04-28T00:00:00Z,94158370A1
2017-04-30T00:00:00Z,6011683A1
2017-05-01T00:00:00Z,50034538A1
2017-05-01T00:00:00Z,50035258A1
2017-05-01T00:00:00Z,50035690A1
2017-05-01T00:00:00Z,50036122A1
2017-05-01T00:00:00Z,50036362A1
2017-05-01T00:00:00Z,50036554A1
2017-05-01T00:00:00Z,50037850A1
2017-05-01T00:00:00Z,50036698A1
2017-05-01T00:00:00Z,50036746A1
2017-05-01T00:00:00Z,50037178A1
2017-05-01T00:00:00Z,50038378A1
2017-05-01T00:00:00Z,2547545A1
2017-05-01T00:00:00Z,50032426A1
2017-05-01T00:00:00Z,50033290A1
2017-05-01T00:00:00Z,50033386A1
2017-05-05T00:00:00Z,95694832A1
2017-05-06T00:00:00Z,66596806A1
2017-05-09T00:00:00Z,27644210A1
2017-05-09T00:00:00Z,27644402A1
2017-05-09T00:00:00Z,27644786A1
2017-05-12T00:00:00Z,31971812A1
2017-05-12T00:00:00Z,31971716A1
2017-05-12T00:00:00Z,31971044A1
2017-05-13T00:00:00Z,90095787A1
2017-05-13T00:00:00Z,90096027A1
2017-05-13T00:00:00Z,90096603A1
2017-05-13T00:00:00Z,90096699A1
2017-05-13T00:00:00Z,90096891A1
2017-05-20T00:00:00Z,5796882A1
